24727,jdm64,CLG,reltuC,CLG,tarik,CLG,FNS,CLG,hazed,CLG,desi,Splyce,els,Splyce,wabbit,Splyce,OCEAN,Splyce,hades,Splyce
24729,hazed,CLG,FNS,CLG,tarik,CLG,desi,Splyce,reltuC,CLG,jdm64,CLG,hades,Splyce,wabbit,Splyce,OCEAN,Splyce,els,Splyce
24779,Hiko,Liquid,jdm64,CLG,FNS,CLG,EliGE,Liquid,FugLy,Liquid,reltuC,CLG,hazed,CLG,nitr0,Liquid,tarik,CLG,adreN,Liquid
24780,FugLy,Liquid,reltuC,CLG,Hiko,Liquid,EliGE,Liquid,hazed,CLG,tarik,CLG,adreN,Liquid,nitr0,Liquid,jdm64,CLG,FNS,CLG
24782,tarik,CLG,mOE,3sUP,arya,3sUP,Professor_Chaos,3sUP,abE,3sUP,FNS,CLG,jasonR,3sUP,reltuC,CLG,jdm64,CLG,hazed,CLG
24784,hazed,CLG,jdm64,CLG,tarik,CLG,FNS,CLG,pyth,Winterfox,anger,Winterfox,reltuC,CLG,Devilwalk,Winterfox,LeX,Winterfox,Xp3,Winterfox
24978,wabbit,Splyce,hazed,CLG,els,Splyce,FNS,CLG,reltuC,CLG,tarik,CLG,desi,Splyce,hades,Splyce,jdm64,CLG,OCEAN,Splyce
25105,jdm64,CLG,FNS,CLG,tarik,CLG,hazed,CLG,sancz,compLexity,SEMPHIS,compLexity,roca,compLexity,autimatic,compLexity,reltuC,CLG,valens,compLexity
25106,autimatic,compLexity,SEMPHIS,compLexity,tarik,CLG,roca,compLexity,jdm64,CLG,reltuC,CLG,sancz,compLexity,hazed,CLG,FNS,CLG,valens,compLexity
25107,roca,compLexity,autimatic,compLexity,jdm64,CLG,sancz,compLexity,valens,compLexity,tarik,CLG,SEMPHIS,compLexity,FNS,CLG,hazed,CLG,reltuC,CLG
25178,hazed,CLG,jdm64,CLG,tarik,CLG,Skadoodle,Cloud9,reltuC,CLG,n0thing,Cloud9,FNS,CLG,shroud,Cloud9,seangares,Cloud9,freakazoid,Cloud9
25180,jdm64,CLG,nitr0,Liquid,FugLy,Liquid,adreN,Liquid,EliGE,Liquid,tarik,CLG,reltuC,CLG,Hiko,Liquid,FNS,CLG,hazed,CLG
25234,GuardiaN,Natus Vincere,jdm64,CLG,flamie,Natus Vincere,seized,Natus Vincere,Edward,Natus Vincere,tarik,CLG,Zeus,Natus Vincere,FNS,CLG,reltuC,CLG,hazed,CLG
25238,aizy,dignitas,FNS,CLG,jdm64,CLG,tarik,CLG,reltuC,CLG,Pimp,dignitas,Kjaerbye,dignitas,tenzki,dignitas,hazed,CLG,MSL,dignitas
25253,seized,Natus Vincere,hazed,CLG,Edward,Natus Vincere,jdm64,CLG,GuardiaN,Natus Vincere,flamie,Natus Vincere,Zeus,Natus Vincere,tarik,CLG,FNS,CLG,reltuC,CLG
25254,reltuC,CLG,GuardiaN,Natus Vincere,tarik,CLG,Zeus,Natus Vincere,jdm64,CLG,seized,Natus Vincere,Edward,Natus Vincere,FNS,CLG,hazed,CLG,flamie,Natus Vincere
25255,seized,Natus Vincere,tarik,CLG,GuardiaN,Natus Vincere,Zeus,Natus Vincere,flamie,Natus Vincere,FNS,CLG,Edward,Natus Vincere,jdm64,CLG,hazed,CLG,reltuC,CLG
25401,jdm64,CLG,tarik,CLG,adreN,Liquid,reltuC,CLG,Hiko,Liquid,FNS,CLG,nitr0,Liquid,FugLy,Liquid,hazed,CLG,EliGE,Liquid
25442,FNS,CLG,jdm64,CLG,hazed,CLG,reltuC,CLG,koosta,Enemy,tarik,CLG,MAiNLiNE,Enemy,Anomaly,Enemy,Relyks,Enemy,Uber,Enemy
25444,boltz,Luminosity,fer,Luminosity,FalleN,Luminosity,steel,Luminosity,jdm64,CLG,coldzera,Luminosity,reltuC,CLG,FNS,CLG,tarik,CLG,hazed,CLG
